pathway,I2,Q_test,model_p,Coefficient,C.lower,C.upper
PWY-5532,27.9570784508995,0.290105999007472,0.790309598127926,0.0279246850575337,-0.177903092065355,0.233752462180423
PWY-5647,20.3070120136175,0.201733254518396,0.50933317194217,-0.0647186925096821,-0.256946074765971,0.127508689746607
PWY-5651,0.0168377920690782,0.498601839814893,0.687335576232772,0.0321220076464682,-0.124305622404883,0.18854963769782
PWY-5654,0.00451224587652523,0.369390906924751,0.665791858399418,-0.0344810141481484,-0.190944915652869,0.121982887356572
PWY-5655,0.00831238778780765,0.175990246868273,0.985053079429952,-0.00149673339820126,-0.158083649797277,0.155090183000874
PWY-5659,0,0.782234121751453,0.401095025318064,0.0669733926039189,-0.0893569271363464,0.223303712344184
PWY-5667,0,0.884609604953861,0.6687207264455,-0.0341154080137241,-0.190376880546314,0.122146064518866
PWY-5675,0,1,0.3276119632765,-0.201392939666119,-0.60460949561692,0.201823616284681
PWY-5676,58.2193476095534,0.0419718238910031,0.179603295045834,-0.192399713219088,-0.473400335002122,0.0886009085639449
PWY-5677,0,0.636602001154034,0.201234139911255,-0.102009141020748,-0.258446903256436,0.0544286212149406
PWY-5686,0.00382152548078149,0.48008684443551,0.930620655264678,-0.00694756649762756,-0.163349558312627,0.149454425317372
PWY-5695,0,0.92078368710478,0.0783375183140291,-0.140501835109467,-0.296930054099378,0.0159263838804441
PWY-5705,0,0.711084538642797,0.472786448137539,0.0572697352407651,-0.0990729005758294,0.21361237105736
PWY-5741,48.3987531322149,0.0791974907531367,0.332615349759343,0.124383250954675,-0.12723911517683,0.376005617086179
PWY-5747,0,0.984998094339381,0.556509000671616,0.046870353372207,-0.10935206730981,0.203092774054224
PWY-5823,0,0.895424253134011,0.832824367328844,-0.016827385036304,-0.173076071369157,0.139421301296549
PWY-5837,40.3382810080374,0.171841620764172,0.169889372199212,-0.162207755299581,-0.39383442797291,0.0694189173737482
PWY-5838,45.4673432027177,0.129792413582425,0.22801959938358,-0.149852852869868,-0.393496190198515,0.0937904844587786
PWY-5840,28.689452815839,0.28276502672311,0.239141866393998,-0.124610354008164,-0.332090320410513,0.0828696123941838
